Student ID,Emotion,JanProject,FebProject,MainTest,FinalExam,Grade
101,Apathy,18.25,15.5,94,61.0,PA
102,Apathy,17.75,30.0,79,62.0,PA
103,Apathy,0.0,0.0,78,15.0,NN
104,Frustration,20.0,25.0,69,65.0,PA
105,Frustration,18.75,30.0,96,51.0,PA
106,Frustration,17.0,23.5,80,59.0,PA
107,,19.75,19.5,82,76.0,PA
108,Sad,20.0,28.0,95,44.0,PA
109,Happy,18.0,23.0,50,33.0,NN
110,Joy,20.0,30.0,92,63.0,PA
111,Joy,19.5,13.0,95,52.0,PA
112,Happy,0.0,,100,,PA
113,Amused,0.0,,67,,NN
114,Sad,20.0,22.75,85,78.0,PA
115,Joy,19.5,26.0,100,79.0,PA
116,Amused,20.0,25.5,97,52.0,PA
117,,15.75,10.0,81,34.0,NN
118,Sad,12.5,10.0,30,22.0,NN
119,Joy,17.5,20.0,61,31.0,NN
120,Sad,14.5,23.5,54,58.0,PA
121,Amused,17.75,30.0,56,46.0,PA
122,Amused,20.0,23.0,37,25.0,NN
123,Joy,19.75,30.0,74,61.0,PA
124,Joy,20.0,30.0,90,71.0,PA
125,,20.0,29.5,70,62.0,PA
126,Amused,20.0,22.5,83,56.0,PA
127,Amused,20.0,35.0,84,83.0,PA
128,Amused,20.0,30.0,84,91.0,PA
129,Joy,20.0,30.0,64,86.0,PA
130,Joy,19.5,13.0,62,39.0,NN
131,Joy,0.0,,60,,NN
132,Amused,17.5,20.0,42,47.0,NN
133,Resentful,20.0,28.0,58,74.0,PA
134,Joy,20.0,15.5,46,76.0,PA
135,Joy,20.0,30.0,61,6.0,NN
136,Joy,18.5,22.0,26,68.0,PA
137,Amused,20.0,26.0,89,63.0,PA
138,Joy,18.75,30.0,59,52.0,PA
139,Joy,19.0,30.0,70,,PA
140,Joy,20.0,29.0,84,77.0,PA
